RET,0,RestPose
RET,1,UnrealPose
RET,2,TPose
JCMGROUP,0,0,ball_l
JCM,3,BallBU60
JCMGROUP,0,0,foot_l
JCM,4,FootBD65
JCM,5,FootBU45
JCMGROUP,0,0,calf_l
JCM,6,CalfBF11
JCM,7,CalfBB90
JCM,8,CalfBB155
JCMGROUP,0,0,thigh_l
JCM,9,ThighBF57
JCM,10,ThighBF115
JCM,11,ThighBB35
JCM,12,ThighSO85
JCM,13,ThighBF115SO85
JCMGROUP,0,2,ball_r
JCM,14,BallBU60
JCMGROUP,0,2,foot_r
JCM,15,FootBD65
JCM,16,FootBU45
JCMGROUP,0,2,calf_r
JCM,17,CalfBF11
JCM,18,CalfBB90
JCM,19,CalfBB155
JCMGROUP,0,2,thigh_r
JCM,20,ThighBF57
JCM,21,ThighBF115
JCM,22,ThighBB35
JCM,23,ThighSO85
JCM,24,ThighBF115SO85
JCMGROUP,0,0,clavicle_l
JCM,25,ClavicleTB30
JCM,26,ClavicleTF30
JCM,27,ClavicleBU55
JCMGROUP,1,0,upperarm_l
JCM,28,UpperArmBU90
JCM,29,UpperArmBD40
JCM,30,UpperArmBF110
JCM,31,UpperArmBF110BU90
JCM,32,UpperArmBF110BD40
JCMGROUP,0,0,lowerarm_l
JCM,33,LowerArmBB20
JCM,34,LowerArmBF75
JCM,35,LowerArmBF135
JCMGROUP,0,0,hand_l
JCM,36,HandBU80
JCM,37,HandBD70
JCMGROUP,0,0,thumb_01_l
JCM,38,Thumb01BF40
JCM,39,Thumb01BU20
JCMGROUP,0,0,thumb_02_l
JCM,40,Thumb02BD65
JCMGROUP,0,0,thumb_03_l
JCM,41,Thumb03BD90
JCMGROUP,0,0,index_01_l
JCM,42,Index01BD95
JCMGROUP,0,0,index_02_l
JCM,43,Index02BD105
JCMGROUP,0,0,index_03_l
JCM,44,Index03BD90
JCMGROUP,0,0,middle_01_l
JCM,45,Middle01BD95
JCMGROUP,0,0,middle_02_l
JCM,46,Middle02BD105
JCMGROUP,0,0,middle_03_l
JCM,47,Middle03BD90
JCMGROUP,0,0,ring_01_l
JCM,48,Ring01BD95
JCMGROUP,0,0,ring_02_l
JCM,49,Ring02BD105
JCMGROUP,0,0,ring_03_l
JCM,50,Ring03BD90
JCMGROUP,0,0,pinky_01_l
JCM,51,Pinky01BD95
JCMGROUP,0,0,pinky_02_l
JCM,52,Pinky02BD105
JCMGROUP,0,0,pinky_03_l
JCM,53,Pinky03BD90
JCMGROUP,0,2,clavicle_r
JCM,54,ClavicleTB30
JCM,55,ClavicleTF30
JCM,56,ClavicleBU55
JCMGROUP,1,2,upperarm_r
JCM,57,UpperArmBU90
JCM,58,UpperArmBD40
JCM,59,UpperArmBF110
JCM,60,UpperArmBF110BU90
JCM,61,UpperArmBF110BD40
JCMGROUP,0,2,lowerarm_r
JCM,62,LowerArmBB20
